arrival,service,start,departure,thread
0.001281704031697964,0.30350941103411405,0.001281704031697964,0.304791115065812,0
0.12429879157380913,0.16855972451270135,0.12429879157380913,0.2928585160865105,1
0.15238366059982184,0.028270930443578805,0.15238366059982184,0.18065459104340065,2
0.21861814103753163,0.03746559465101363,0.21861814103753163,0.25608373568854526,3
0.3427354793569244,0.013047243434881743,0.3427354793569244,0.3557827227918061,2
0.3798077777818566,0.1511641468546322,0.3798077777818566,0.5309719246364888,3
0.3948747888427464,0.21649816341790837,0.3948747888427464,0.6113729522606548,1
0.5082783210808035,0.38041899764688547,0.5082783210808035,0.888697318727689,0
0.5735590906842067,0.03966779242921011,0.5735590906842067,0.6132268831134169,2
0.5844458064023353,0.4968672251723077,0.5844458064023353,1.081313031574643,3
0.5854694625431425,0.011991090216817737,0.6113729522606548,0.6233640424774726,1
0.6232491138007592,0.2753481150358012,0.6232491138007592,0.8985972288365605,2
0.7982368445364382,0.7807293761426295,0.7982368445364382,1.5789662206790678,1
0.8012801297359902,0.10110464789432817,0.888697318727689,0.9898019666220171,0
0.9272453273237751,0.5616578551441058,0.9272453273237751,1.488903182467881,2
1.0349125060731004,0.0815070005736805,1.0349125060731004,1.1164195066467808,0
1.2846796848914437,0.1307242284801515,1.2846796848914437,1.4154039133715952,3
1.3179685314947684,0.3046071694850991,1.3179685314947684,1.6225757009798676,0
1.3532854557509932,0.15531552169540844,1.4154039133715952,1.5707194350670037,3
1.5736371382616918,0.041996389699705323,1.5736371382616918,1.6156335279613971,2
1.7563918920222983,0.009378933759621542,1.7563918920222983,1.7657708257819198,3
1.757561142312273,0.00622983620314599,1.757561142312273,1.763790978515419,1
1.7684633944895825,0.06476102652101566,1.7684633944895825,1.8332244210105981,2
1.954867890016537,0.0016768544996808668,1.954867890016537,1.9565447445162178,0
2.0408171211419863,0.09012841765821909,2.0408171211419863,2.1309455388002054,1
2.216719762533948,0.015190606780056739,2.216719762533948,2.2319103693140048,3
2.2250902159295927,0.1625701639071939,2.2250902159295927,2.3876603798367864,2
2.2791783392955325,0.4342774544141044,2.2791783392955325,2.713455793709637,0
2.3239999040538155,0.09886685253098215,2.3239999040538155,2.4228667565847974,1
2.3452168644339775,0.08962289571467656,2.3452168644339775,2.434839760148654,3
2.4599403914445452,0.1388376717229478,2.4599403914445452,2.598778063167493,2
2.485606870555296,0.0594721455059852,2.485606870555296,2.545079016061281,1
2.649085535599836,0.03928204470392583,2.649085535599836,2.688367580303762,3
2.6600233708141747,0.29969403722746957,2.6600233708141747,2.9597174080416444,1
2.763407792623506,0.022917397530975048,2.763407792623506,2.7863251901544808,2
2.806729698545764,0.17541881253337296,2.806729698545764,2.9821485110791373,3
2.8801391282490814,0.07957118447068054,2.8801391282490814,2.959710312719762,0
2.907155925463889,0.6402806645812867,2.907155925463889,3.5474365900451756,2
2.913460657035237,0.17602641524906418,2.959710312719762,3.135736727968826,0
2.9297240214807267,0.09103123796262431,2.9597174080416444,3.0507486460042688,1
2.9823788735686456,0.10712513080515897,2.9823788735686456,3.0895040043738047,3
3.031722401150646,0.015368364414544484,3.0507486460042688,3.066117010418813,1
3.126084200241249,0.03144628943915032,3.126084200241249,3.1575304896803993,1
3.1610107067656394,0.16421800949610527,3.1610107067656394,3.3252287162617447,3
3.243830429113445,0.33658341678116543,3.243830429113445,3.5804138458946104,0
3.432261433423661,0.6025598662225694,3.432261433423661,4.0348212996462305,1
3.8059183901762506,0.008842527834647052,3.8059183901762506,3.8147609180108977,3
3.9428185950764627,0.13671707539529718,3.9428185950764627,4.07953567047176,2
4.0658596046017035,0.5565397933579642,4.0658596046017035,4.622399397959668,0
4.275282254859726,0.2904325108769626,4.275282254859726,4.565714765736689,3
4.454332308193644,0.3998412168042172,4.454332308193644,4.8541735249978615,1
4.527469385139147,0.37454068710228683,4.527469385139147,4.902010072241434,2
4.653972842259969,0.11396438642853282,4.653972842259969,4.767937228688502,3
4.740368579059491,0.022838222323680598,4.740368579059491,4.763206801383172,0
4.811148234567482,0.07939078689186867,4.811148234567482,4.890539021459351,0
4.900541445194844,1.406294369057016,4.900541445194844,6.30683581425186,3
4.959227551792825,0.2731049881110497,4.959227551792825,5.232332539903875,1
5.1200832744560305,0.03679338242325253,5.1200832744560305,5.156876656879283,0
5.169413858866874,0.18636153726499038,5.169413858866874,5.355775396131865,2
5.202756489517572,0.08627779050948584,5.202756489517572,5.289034280027058,0
5.230254037331531,0.14504421478510526,5.232332539903875,5.377376754688981,1
5.246780237920881,0.03724987500845516,5.289034280027058,5.326284155035514,0
5.2539908121116365,0.040675112428381274,5.326284155035514,5.366959267463895,0
5.46571071794056,0.07776408485532257,5.46571071794056,5.543474802795883,2
5.521891031027769,0.02385607758048308,5.521891031027769,5.545747108608252,0
5.589987734583789,0.0898024531061522,5.589987734583789,5.6797901876899415,1
5.639226080740378,0.43834543043176705,5.639226080740378,6.0775715111721444,2
5.777755933325592,0.02380065523197515,5.777755933325592,5.801556588557567,0
6.0055506839820065,0.21092309541914553,6.0055506839820065,6.216473779401152,1
6.03885877722047,0.31309766576089176,6.03885877722047,6.351956442981361,0
6.044010668535081,0.2989406249757345,6.0775715111721444,6.376512136147879,2
6.0629265695375185,0.45216511604589227,6.216473779401152,6.668638895447044,1
6.105395087888965,0.0013367628771556754,6.30683581425186,6.308172577129016,3
6.28702229365433,0.535682246623328,6.308172577129016,6.843854823752343,3
6.336581831676858,0.19642905604050648,6.351956442981361,6.548385499021868,0
6.531820418642053,0.033308434662582424,6.531820418642053,6.5651288533046355,2
6.701646489056672,0.05180283270401964,6.701646489056672,6.753449321760692,0
6.770733123943891,0.1164796108163114,6.770733123943891,6.887212734760202,2
6.879854436983091,0.17852969466044538,6.879854436983091,7.058384131643537,1
6.909467107242442,0.5700620772971274,6.909467107242442,7.479529184539569,0
7.182587827683104,0.009122830765252042,7.182587827683104,7.191710658448356,3
7.184661210815226,0.49820806301570425,7.184661210815226,7.6828692738309305,2
7.231835312432563,0.5820354146640356,7.231835312432563,7.813870727096599,1
7.280745614708606,0.02475015584556573,7.280745614708606,7.305495770554172,3
7.437676134154207,0.1295785976066185,7.437676134154207,7.567254731760825,3
7.449961006433242,0.5423534296049968,7.479529184539569,8.021882614144566,0
7.485507451842308,0.46718801016718936,7.567254731760825,8.034442741928014,3
7.531851119594432,0.14260631741499616,7.6828692738309305,7.825475591245927,2
7.68818853082403,0.028002844643165426,7.813870727096599,7.841873571739764,1
7.707418745162784,0.26001545984338553,7.825475591245927,8.085491051089312,2
7.77549907802975,0.0689415016346147,7.841873571739764,7.910815073374378,1
7.8086970380289,0.6203381323988899,7.910815073374378,8.531153205773268,1
7.907429970491017,0.27582295397838447,8.021882614144566,8.29770556812295,0
7.931321972303059,0.5801250988373168,8.034442741928014,8.614567840765332,3
8.053518627649654,0.2483379026980637,8.085491051089312,8.333828953787375,2
8.117109292944262,0.30622573425265687,8.29770556812295,8.603931302375607,0
8.23222609241439,0.10894816553486812,8.333828953787375,8.442777119322242,2
8.359883437907214,0.5482733859325609,8.442777119322242,8.991050505254803,2
8.361943903870623,0.1577261794067956,8.531153205773268,8.688879385180064,1
8.386190782779892,0.20310102078427886,8.603931302375607,8.807032323159886,0
8.41203557455032,0.10828229265363687,8.614567840765332,8.72285013341897,3
8.457719718505267,0.6378447831798008,8.688879385180064,9.326724168359865,1
8.464733313536232,0.46012095563679767,8.72285013341897,9.182971089055767,3
8.653867913127385,0.30796836333660144,8.807032323159886,9.115000686496487,0
8.670271087715786,0.2976611731702138,8.991050505254803,9.288711678425017,2
8.696419476993714,0.5570982509952114,9.115000686496487,9.672098937491699,0
8.700807843889216,1.0167673957839198,9.182971089055767,10.199738484839687,3
8.736934149533822,0.02682459995879949,9.288711678425017,9.315536278383817,2
8.740089909054035,0.3924435651763635,9.315536278383817,9.70797984356018,2
8.742690621751699,0.5655952836541834,9.326724168359865,9.892319452014048,1
8.90978595133839,0.03235856032977172,9.672098937491699,9.70445749782147,0
8.921114661223335,0.1997217693822378,9.70445749782147,9.904179267203709,0
8.96983555662204,0.01278081043227323,9.70797984356018,9.720760653992453,2
8.978636176810001,0.15870933923578118,9.720760653992453,9.879469993228234,2
9.130027615732448,0.6662644608826506,9.879469993228234,10.545734454110885,2
9.214664606741719,0.04034409870996951,9.892319452014048,9.932663550724017,1
9.277166816680738,0.8982890739401288,9.904179267203709,10.802468341143838,0
9.287151807971311,0.9099342097131392,9.932663550724017,10.842597760437156,1
9.358190657753855,0.8263841993450619,10.199738484839687,11.026122684184749,3
9.579959259848227,0.00220672720469517,10.545734454110885,10.547941181315581,2
9.62325424316188,0.05319447579781069,10.547941181315581,10.601135657113392,2
9.689917352080755,0.0679562127908992,10.601135657113392,10.66909186990429,2
9.819295484644114,0.260770032955432,10.66909186990429,10.929861902859722,2
9.875848873027364,0.2731875581347354,10.802468341143838,11.075655899278573,0
9.887844159320295,0.06740454963987985,10.842597760437156,10.910002310077036,1
9.89925947315805,0.8175701375415783,10.910002310077036,11.727572447618615,1
9.908379696270341,0.07285993148564904,10.929861902859722,11.00272183434537,2
9.92959508751484,0.60163901710397,11.00272183434537,11.604360851449341,2
9.939386802381415,0.1611800894356048,11.026122684184749,11.187302773620354,3
10.107274193212387,0.6292941734526734,11.075655899278573,11.704950072731247,0
10.223063138365752,0.8213000918535962,11.187302773620354,12.00860286547395,3
10.256590066303504,0.04843658568097661,11.604360851449341,11.652797437130317,2
10.36152197688422,0.05043587454457758,11.652797437130317,11.703233311674895,2
10.429862288407444,0.0478138849794838,11.703233311674895,11.751047196654378,2
10.689669188165695,0.15141974325225926,11.704950072731247,11.856369815983506,0
10.701560507306114,0.3847816974026058,11.727572447618615,12.11235414502122,1
10.896826056005155,0.0978051542274016,11.751047196654378,11.84885235088178,2
10.96873744323822,0.07598537623719366,11.84885235088178,11.924837727118973,2
10.979548504600459,0.10575835625688391,11.856369815983506,11.962128172240389,0
11.064980896920114,0.2495143444721077,11.924837727118973,12.17435207159108,2
11.099668208042614,0.47310175747587574,11.962128172240389,12.435229929716265,0
